dateTime,open,high,low,close,volume
2023-01-01 00:00:00,16541.77000000,16544.76000000,16527.51000000,16535.38000000,486.60903000
2023-01-01 00:05:00,16534.91000000,16540.43000000,16522.55000000,16526.67000000,391.19043000
2023-01-01 00:10:00,16526.67000000,16530.87000000,16520.00000000,16520.69000000,294.73889000
2023-01-01 00:15:00,16521.26000000,16537.73000000,16517.72000000,16534.94000000,481.18777000
2023-01-01 00:20:00,16534.94000000,16540.66000000,16532.33000000,16535.54000000,309.53189000
2023-01-01 00:25:00,16535.54000000,16545.70000000,16534.62000000,16544.19000000,311.90922000
2023-01-01 00:30:00,16544.19000000,16544.61000000,16522.03000000,16527.83000000,394.57703000
2023-01-01 00:35:00,16527.27000000,16530.09000000,16508.39000000,16524.04000000,612.13471000
2023-01-01 00:40:00,16524.83000000,16525.25000000,16512.70000000,16515.43000000,358.94459000
2023-01-01 00:45:00,16515.91000000,16535.66000000,16515.43000000,16529.16000000,357.27214000
2023-01-01 00:50:00,16529.69000000,16533.79000000,16526.36000000,16531.84000000,176.35220000
2023-01-01 00:55:00,16531.84000000,16536.84000000,16528.94000000,16529.67000000,190.38780000
2023-01-01 01:00:00,16529.59000000,16537.66000000,16525.78000000,16531.02000000,421.67234000
2023-01-01 01:05:00,16530.39000000,16540.47000000,16530.31000000,16539.20000000,283.81866000
2023-01-01 01:10:00,16539.20000000,16541.80000000,16535.40000000,16538.21000000,271.75580000
2023-01-01 01:15:00,16537.68000000,16540.82000000,16534.00000000,16538.59000000,179.55931000
2023-01-01 01:20:00,16539.04000000,16539.95000000,16530.76000000,16536.22000000,272.68762000
2023-01-01 01:25:00,16536.22000000,16536.64000000,16531.79000000,16534.60000000,209.43828000
2023-01-01 01:30:00,16534.02000000,16535.72000000,16530.62000000,16532.00000000,176.68573000
2023-01-01 01:35:00,16531.74000000,16539.92000000,16530.75000000,16535.19000000,274.65824000
2023-01-01 01:40:00,16535.19000000,16543.38000000,16534.19000000,16539.94000000,341.34788000
2023-01-01 01:45:00,16539.94000000,16547.23000000,16538.03000000,16546.33000000,356.20818000
